Label,Tweet
Marah,kesel banget sumpah hari ini bikin pusing
Marah,gue marah banget barusan ga ngerti kenapa orang bisa segitu nyebelin
Marah,udah capek tapi masih aja dibikin emosi
Marah,bener bener bikin naik darah tadi
Marah,ga habis pikir kenapa harus seribet itu
Marah,jengkel parah liat sikapnya tadi
Marah,astaga ini orang bikin panas kepala
Marah,udah bilang baik baik malah dibalas nyakitin
Marah,kesel liat kelakuan kaya gitu
Marah,bener bener bikin frustrasi sumpah
Marah,lagi males banget ketemu orang toxic gini
Marah,udah sabar tapi tetep aja dibuat kesel
Marah,tadi beneran bikin emosi sampe gemeter
Marah,ga tau lagi mau ngomong apa kesel banget
Marah,kok ya bisa ya orang seenaknya begitu
Marah,kesel parah udah ditahan tapi tetep meledak
Marah,greget banget sumpah pengen pergi aja
Marah,ga suka banget sama perlakuan barusan
Marah,tadi sumpah aku pengen marah ke semuanya
Marah,kesel banget digituin
Marah,aku marah karena semuanya amburadul
Marah,udahlah bikin capek hati
Marah,emosi banget gara gara hal kecil jadi besar
Marah,marah banget liat tingkah ga masuk akal itu
Marah,jujur tadi aku pengen banting sesuatu
Marah,kesel tapi ga bisa ngomong apa apa
Marah,bener bener pengen ngegas barusan
Marah,gimana ga marah coba perlakuannya kaya gitu
Marah,aku jengkel banget sama situasi ini
Marah,sebel liat chatnya barusan
Marah,parah banget sumpah bikin panas hati
Marah,gesrek banget tingkah orang tadi
Marah,aku sudah sabar tapi disiasiain
Marah,kesel sampe cape sendiri
Marah,sakit hati campur marah sebenernya
Marah,aku emosi tapi harus nahan
Marah,tadi bikin suara naik tanpa sadar
Marah,marah banget tapi ga bisa apa apa
Marah,aku jengkel cara orang meremehkan
Marah,kesel sumpah itu ga sopan banget
Marah,pengen marah tapi percuma
Marah,aku lelah tapi tetep dibikin kesel
Marah,bener bener ngeselin ga ada obat
Marah,kesalnya udah level maksimal
Marah,ngamuk rasanya tapi nahan
Marah,aku marah karena dibohongin
Marah,bikin panas hati banget barusan sumpah
Marah,jengkel pol sama tingkah itu
Marah,marahnya ketahan tapi nyesek
Marah,kepala sampe berat karena emosi
Marah,parah kelakuan ga mikir orang lain
Marah,kesel banget dituduh sembarangan
Marah,aku marah karena ga dihargai
Marah,hari ini bikin marah terus
Marah,kesal karena semua ga sesuai rencana
Marah,aku jengkel tapi ga bisa bilang langsung
Marah,beneran bikin muak situasinya
Marah,aku ga suka banget perlakuan itu
Marah,ketus banget jawabannya bikin marah
Marah,tadi aku lagi sabar tapi malah dilawan
Marah,kenapa sih harus bikin emosi gini
Marah,kesel ga sih kalo diperlakuin gitu
Marah,aku jengkel banget sumpah
Marah,marah tapi ga bisa lega
Marah,rasa keselnya belom hilang sampe sekarang
Marah,hal kecil aja bikin emosi
Marah,bikin kebawa mood jelek
Marah,aku marah karena disepelekan
Marah,kesel banget sumpah ga bohong
Marah,energi abis cuma buat marah
Marah,aku kecewa campur marah
Marah,tadi aku bener bener mau ngegas
Marah,ga bisa diem karena kesel banget
Marah,bikin darah naik tinggi
Marah,aku beneran panas gila barusan
Marah,jengkel banget sumpah sampe cape
Marah,kok bisa ya orang segitu nyebelin
Marah,aku kesel karena diganggu terus
Marah,bikin pengen teriak sumpah
Marah,aku marah tapi tetap harus tenang
Marah,gila sih tadi mulutnya ga dijaga
Marah,tadi itu bikin emosi banget
Marah,aku kesel karena dikhianati
Marah,beneran kesel sampe ga bisa mikir
Marah,emosi banget gara gara kelakuan tolol
Marah,jengkel sumpah tadi chaos banget
Marah,pengen marah tapi ada orang
Marah,aku sampe mukul meja tadi kesel
Marah,bikin stres karena kebodohan itu
Marah,aku capek marah marah terus
Marah,tadi berantakan banget bikin jengkel
Marah,beneran ga sopan perlakuannya
Marah,aku ga tahan liat sikap barusan
