Label,Tweet
Cinta,aku sayang banget sama dia
Cinta,rasa rinduku makin kuat tiap hari
Cinta,aku suka banget liat senyumnya
Cinta,nyaman banget kalo deket dia
Cinta,hatiku hangat tiap denger suaranya
Cinta,aku cinta dia lebih dari yang kukira
Cinta,rasa sayang ini ga bisa hilang
Cinta,aku suka caranya bikin aku tenang
Cinta,rindu yang sederhana tapi dalem banget
Cinta,aku jatuh hati tiap dia ngomong
Cinta,rasanya manis tiap kali lihat dia
Cinta,aku sayang cara dia memperhatikan hal kecil
Cinta,rasa cinta ini lembut banget
Cinta,aku nyaman cerita apa aja ke dia
Cinta,beneran kagum sama kebaikannya
Cinta,aku suka banget tiap dia senyum
Cinta,rindu makin berat kalo ga ketemu
Cinta,rasa sayang ini tumbuh terus
Cinta,aku cinta ketenangan yang dia bawa
Cinta,setiap lihat dia hati adem banget
Cinta,aku suka tatapan matanya
Cinta,rasa nyamanku cuma ada di dia
Cinta,aku jatuh hati pelan pelan
Cinta,rindu banget pengen ketemu
Cinta,aku cinta dengan caranya bersikap lembut
Cinta,rasanya manis tiap kali dia nyebut namaku
Cinta,aku suka sama sifatnya yang hangat
Cinta,rasa sayang ini ga main main
Cinta,aku nyaman banget tiap deket dia
Cinta,rindu jadi hal yang biasa sekarang
Cinta,aku cinta tiap detail kecil tentang dia
Cinta,rasanya hangat banget tiap ketemu
Cinta,aku suka caranya bikin aku aman
Cinta,rasa cinta ini ga bisa dibendung
Cinta,aku sayang dia lebih dari yang dia tau
Cinta,rasanya lembut banget tiap inget dia
Cinta,aku nyaman digandeng dia
Cinta,rindu yang halus tapi nyesek
Cinta,aku jatuh cinta ulang tiap hari
Cinta,rasanya manis tiap liat dia sibuk
Cinta,aku suka denger dia ketawa
Cinta,rasa sayang ini ga pernah turun
Cinta,aku cinta semua kekurangannya
Cinta,rasanya hangat waktu denger namanya
Cinta,aku nyaman curhat panjang sama dia
Cinta,rindu makin tebal tiap malam
Cinta,aku sayang cara dia bikin aku percaya diri
Cinta,rasanya lembut kaya selimut
Cinta,aku jatuh hati sama pemikirannya
Cinta,rindu berat tiap liat tempat favorit kita
Cinta,aku suka liat dia fokus
Cinta,rasa cinta ini anget banget
Cinta,aku sayang meski ga sempurna
Cinta,rasanya adem tiap liat fotonya
Cinta,aku nyaman banget di pelukannya
Cinta,rindu yang diam diam tapi kuat
Cinta,aku cinta karena dia tulus banget
Cinta,rasanya manis tiap dia chat duluan
Cinta,aku suka kesederhanaannya
Cinta,rasa sayang ini nyata banget
Cinta,aku nyaman tiap dia ada di dekatku
Cinta,rindu sering dateng tiba tiba
Cinta,aku jatuh hati sama tingkah lucunya
Cinta,rasanya hangat tiap dia bilang hati hati
Cinta,aku sayang banget sama caranya mikir
Cinta,rasa cinta ini ga pudar pudar
Cinta,aku cinta tiap detail suaranya
Cinta,rasanya adem tiap dia nanya udah makan
Cinta,aku suka gaya bicaranya
Cinta,rindu makin parah pas malam
Cinta,aku sayang sama keseriusannya
Cinta,rasa cinta ini lembut tapi dalam
Cinta,aku nyaman tiap dia genggam tanganku
Cinta,rindu rasanya kaya magnet
Cinta,aku jatuh hati sama matanya
Cinta,rasanya manis tiap dia manggil nama kecilku
Cinta,aku suka caranya bikin aku ketawa
Cinta,rasa sayang ini bikin hati penuh
Cinta,aku cinta cara dia menghargai aku
Cinta,rasanya adem tiap liat ekspresinya
Cinta,aku nyaman nemenin dia lama lama
Cinta,rindu ga habis habis sejak dia pergi
Cinta,aku jatuh cinta sama ketulusannya
Cinta,rasanya hangat tiap dia bilang kangen
Cinta,aku sayang meski jarak jauh
Cinta,rindu makin kuat tiap hari lewat
Cinta,aku cinta tiap memori tentang dia
Cinta,rasanya manis tiap dia usap kepala
Cinta,aku suka cara dia bicarakan masa depan
Cinta,rasa sayang ini susah dijelasin
Cinta,aku nyaman banget ketiduran di chat
Cinta,rindu tiap denger lagunya
Cinta,aku jatuh cinta sama pembawaannya
Cinta,rasanya lembut banget tiap dia nyapa
Cinta,aku sayang tiap hal receh yang dia lakukan
Cinta,rindu sampe perut ikut hangat
Cinta,aku cinta tiap senyum pelannya
Cinta,rasanya adem tiap dia bilang santai
Cinta,aku suka cara dia tenangin aku
Cinta,rindu makin berat pas sepi
Cinta,aku jatuh hati tiap ngerti kebaikannya
Cinta,rasanya hangat tiap dia bilang makasih
Cinta,aku sayang banget ngeliat dia usaha
Cinta,rasa cinta ini jujur banget
Cinta,aku cinta tiap kata yang dia pilih
Cinta,rasanya lembut pas dia nyentuh tanganku
Cinta,aku nyaman cerita rahasia ke dia
Cinta,rindu tiap liat tempat kita dulu
Cinta,aku jatuh cinta sama candanya
Cinta,rasanya manis tiap dia ngomong pelan
Cinta,aku suka cara dia dengerin tanpa interupsi
Cinta,rasa sayang ini bikin hati tenang
Cinta,aku cinta beneran ga bohong
Cinta,rasanya adem tiap dia bilang gapapa
Cinta,aku nyaman banget berada di sisinya
Cinta,rindu nyerang lagi pas malam
Cinta,aku jatuh hati sama caranya mikir aku
Cinta,rasanya hangat tiap dia bilang selamat pagi
Cinta,aku sayang tiap usaha kecil yang dia lakukan
Cinta,rasa cinta ini dalam banget
Cinta,aku cinta liat dia berkembang
Cinta,rasanya lembut tiap dia bilang istirahat
Cinta,aku nyaman jadi diri sendiri di depan dia
Cinta,rindu setiap lihat sesuatu yang mirip dia
Cinta,aku jatuh cinta sama suaranya yang tenang
Cinta,rasanya manis tiap dia nahan tawa
Cinta,aku suka caranya jalan pelan pelan
Cinta,rasa sayang ini ga ada obat
Cinta,aku cinta tiap hal lucunya
Cinta,rasanya adem liat tingkah polosnya
Cinta,aku nyaman sama tatapan matanya
Cinta,rindu sampe senyum sendiri
Cinta,aku jatuh hati tiap liat dia fokus ngerjain sesuatu
Cinta,rasanya hangat banget tiap aku dipeluk
Cinta,aku sayang cara dia jagain aku
Cinta,rasa cinta ini makin besar
Cinta,aku cinta tiap suara napasnya pas tidur
Cinta,rasanya lembut tiap dia bilang tenang
Cinta,aku nyaman banget bareng dia
Cinta,rindu tiap menit berlalu
Cinta,aku jatuh cinta tanpa sadar
Cinta,rasanya manis tiap dia bilang aku lucu
Cinta,aku suka tiap hal kecil yang dia lakukan
Cinta,rasa sayang ini ga terbendung
Cinta,aku cinta tatapannya yang hangat
Cinta,rasanya adem tiap dia hadir
Cinta,aku nyaman duduk lama bareng dia
Cinta,rindu bikin hati bergetar
Cinta,aku jatuh hati tiap dia senyum sederhana
Cinta,rasanya hangat tiap dia bilang hati hati
Cinta,aku sayang tiap perhatiannya
Cinta,rasa cinta ini cuma untuk dia
Cinta,aku cinta caranya ngertiin aku
Cinta,rasanya lembut kayak pelukan pertama
Cinta,aku nyaman banget deket dia
Cinta,rindu datang lagi tanpa permisi
Cinta,aku jatuh cinta tiap dia bilang santai aja
Cinta,rasanya manis tiap dia nanya udah makan
Cinta,aku suka hal kecil yang dia ingat tentangku
Cinta,rasa sayang ini terus tumbuh
Cinta,aku cinta tiap tatapan tulusnya
Cinta,rasanya adem tiap dia bilang istirahat dulu
Cinta,aku nyaman di dunia kecil yang kita punya
Cinta,rindu tiap waktu jauh
Cinta,aku jatuh hatiku sepenuhnya
Cinta,rasanya hangat tiap dia bilang aku di sini
Cinta,aku sayang banget sama sifat lembutnya
Cinta,rasa cinta ini ga pernah pudar
Cinta,aku cinta caranya menghadapi masalah
Cinta,rasanya lembut banget tiap dia dekat
Cinta,aku nyaman meski ga ngomong apa apa
Cinta,rindu tiap lihat hal random yang mirip dia
Cinta,aku jatuh cinta tiap dia ngeliat aku lama
Cinta,rasanya manis tiap dia ngomong jujur
Cinta,aku suka cara dia membuatku tenang
Cinta,rasa sayang ini penuh banget
Cinta,aku cinta tiap hal yang dia perjuangkan
Cinta,rasanya adem saat dia bilang jangan takut
Cinta,aku nyaman banget dalam genggamannya
Cinta,rindu ga pernah berhenti
Cinta,aku jatuh hati lagi hari ini
Cinta,rasanya hangat tiap dia bilang sampai ketemu
Cinta,aku sayang walau kadang ragu
Cinta,rasa cinta ini tetep kuat
Cinta,aku cinta tiap perjalanan bareng dia
Cinta,rasanya lembut tiap dia pegang tanganku
Cinta,aku nyaman dalam diam bersamanya
Cinta,rindu tiap kali dia pergi sebentar
Cinta,aku jatuh cinta sama caranya memandang dunia
Cinta,rasanya manis tiap dia bilang aku bangga
Cinta,aku suka perhatiannya yang halus
Cinta,rasa sayang ini tulus banget
Cinta,aku cinta tiap memori bersamanya
Cinta,rasanya adem tiap dia nanya kabar
Cinta,aku nyaman ketawa bareng dia
Cinta,rindu sampe susah tidur
Cinta,aku ngerasa hangat tiap kali mikirin dia
Cinta,rasanya lembut banget tiap dia hadir
Cinta,aku suka kedamaian yang dia bawa
Cinta,hati ini tenang setiap inget suaranya
Cinta,aku jatuh perlahan tapi pasti
Cinta,rasa sayang ini tumbuh tanpa aku sadar
Cinta,aku nyaman sama dia tanpa harus pura pura
Cinta,ketertarikanku ke dia ga pernah padam
Cinta,aku suka tatapan mata yang jujur itu
Cinta,rasanya kaya dunia berhenti pas dia senyum
Cinta,aku merasa dilihat dengan lembut
Cinta,takut kehilangan dia tapi senang memilikinya
Cinta,rasa sayangku pelan tapi penuh
Cinta,aku betah banget ada di samping dia
Cinta,setiap dia nyebut namaku hati ini meleleh
Cinta,aku sayang caranya merawat hal kecil
Cinta,rindu itu muncul setiap dia pergi sebentar
Cinta,aku kagum banget sama ketulusannya
Cinta,rasanya manis tiap dia bilang hal sederhana
Cinta,aku ngerasa aman dekat dia
Cinta,ketenangan yang dia bawa susah diganti
Cinta,aku senang bisa berbagi hari dengan dia
Cinta,rasa cintaku bertambah tiap detik
Cinta,aku sayang banget sama kehadirannya
Cinta,rasanya hidup jadi lembut karena dia
Cinta,aku jatuh hati sama caranya memandang dunia
Cinta,rasa suka ini dalem banget
Cinta,aku nyaman cerita isi kepalaku ke dia
Cinta,rasanya manis saat dia bilang aku lucu
Cinta,aku sayang tiap gesture kecil dia
Cinta,rasa cintanya nempel halus banget
Cinta,aku suka tiap dia nyebut aku pelan
Cinta,hati ini kencang tapi hangat tiap liat dia
Cinta,aku rindu semua hal sederhana tentang dia
Cinta,rasanya kaya nemu rumah baru
Cinta,aku cinta dia meskipun dia ga sadar
Cinta,rasa lembutnya bikin aku jatuh
Cinta,aku suka sorot matanya pas denger cerita aku
Cinta,rasanya kaya langit terang tiap dia muncul
Cinta,aku nyaman banget bareng dia dalam diam
Cinta,rasa cinta ini tumbuh tanpa aku kontrol
Cinta,aku sayang banget tiap dia usaha kecil
Cinta,rasanya hangat banget tiap dia bilang selamat pagi
Cinta,aku suka cara dia pegang duniaku
Cinta,hati ini serasa dipeluk tiap dia deket
Cinta,aku jatuh cinta ke caranya tersenyum pelan
Cinta,rasa suka ini bikin pipi panas
Cinta,aku rindu tiap dia hilang sebentar
Cinta,rasanya sejuk banget saat dia ngomong pelan
Cinta,aku suka kehadiran dia yang ga ribut
Cinta,rasa sayangku besar tapi lembut
Cinta,aku nyaman banget sendirian bareng dia
Cinta,rasa cinta ini kaya air mengalir
Cinta,aku suka caranya memandangku tanpa niat buruk
Cinta,rasanya dunia lebih pelan pas aku sama dia
Cinta,aku sayang tiap hal yang dia lakukan
Cinta,ketertarikan ini ga bisa aku sembunyikan
Cinta,rasa cintanya hadir tanpa suara
Cinta,aku rindu tiap ngetik namanya
Cinta,rasanya kaya dipeluk tanpa disentuh
Cinta,aku jatuh cinta sama jiwa nya
Cinta,rasa suka ini murni banget
Cinta,aku nyaman ada di bahunya
Cinta,rasa hangatnya sampai ke napas
Cinta,aku suka setiap detail dirinya
Cinta,cintaku bertumbuh dari hal hal kecil
Cinta,aku rindu mendengar ceritanya
Cinta,rasa sayangku luas banget
Cinta,aku jatuh cinta saat dia bilang gapapa
Cinta,rasa lembutnya bikin aku luluh
Cinta,aku nyaman jadi diri sendiri sama dia
Cinta,rindu kecilnya cukup bikin gelisah
Cinta,aku suka aroma kehadiran dia
Cinta,rasanya lembut saat dia menoleh
Cinta,aku beri hatiku pelan pelan ke dia
Cinta,rasa cintanya ga bisa aku jelasin
Cinta,aku sayang dia dalam cara yang ga berisik
Cinta,hari ini aku jatuh cinta lagi
Cinta,rasanya kaya ketemu cahaya baru
Cinta,aku suka cara dia bikin aku percaya
Cinta,rasa hangat ini ga mau pergi
Cinta,aku rindu tiap dengar langkahnya
Cinta,rasa suka ini ga bisa aku tolak
Cinta,aku cinta cara dia nahan senyum
Cinta,rasanya manis banget tiap dia nyapa
Cinta,aku nyaman tiap dia diem tapi dekat
Cinta,rindu datang tanpa permisi
Cinta,aku jatuh lagi ke hal sederhana dari dia
Cinta,cintanya bikin aku tenang
Cinta,aku sayang banget sama keberadaannya
Cinta,rasa lembut ini aneh tapi indah
Cinta,aku suka tiap dia bilang maaf dengan tulus
Cinta,rasanya kaya hati ngembang
Cinta,aku rindu suara ringan dia
Cinta,ketertarikan ini diam tapi kuat
Cinta,aku cinta versi dirinya yang jujur
Cinta,rasanya lembut tiap dia nyentuh jemari
Cinta,aku nyaman tidur sambil mikirin dia
Cinta,rindu ini halus tapi nyeret
Cinta,aku suka matanya yang tenang
Cinta,rasanya hangat tiap dia bilang hati hati
Cinta,aku sayang perhatian kecilnya
Cinta,rasa cintaku tumbuh tanpa jeda
Cinta,aku nyaman banget di dunia kecil kami
Cinta,rasanya kaya punya musim semi sendiri
Cinta,aku rindu ekspresinya waktu bingung
Cinta,rasa suka ini nyala tiap dia datang
Cinta,aku jatuh hati sama keteguhannya
Cinta,rasanya lembut saat dia nyebutkan namaku
Cinta,aku sayang tiap langkah dia
Cinta,cintaku ga butuh banyak kata
Cinta,aku nyaman banget sama dia yang apa adanya
Cinta,rasanya kaya air hangat di pagi dingin
Cinta,aku rindu bareng dia tanpa ngapa ngapain
Cinta,ketertarikanku ke dia tulus dan tenang
Cinta,aku cinta ketenangan yang dia ajarkan
Cinta,rasanya manis tiap dia ngasih respon kecil
Cinta,aku suka cara dia ngerti tanpa diminta
Cinta,rindu muncul bahkan pas aku bahagia
Cinta,aku jatuh cinta sama detail wajahnya
Cinta,rasanya kaya dipilih sama semesta
Cinta,aku nyaman walau ga bicara banyak
Cinta,rasa cintanya masuk perlahan
Cinta,aku sayang tiap waktu yang dia bagi
Cinta,rasanya damai banget pas dia dengerin aku
Cinta,aku suka hati yang dia bawa
Cinta,rindu ini ga mau pergi
Cinta,aku cinta tiap sisi rapuhnya
Cinta,rasanya hangat saat dia bilang terima kasih
Cinta,aku nyaman karena dia ga pernah maksa
Cinta,rasa suka ini mulus banget
Cinta,aku rindu candanya yang sederhana
Cinta,ketertarikan ini tumbuh setiap hari
Cinta,aku cinta caranya memperlakukan orang
Cinta,rasanya lembut tiap dia nyentuh bahuku
Cinta,aku sayang banget sama dirinya yang tulus
Cinta,rindu ini kaya aliran yang tenang
Cinta,aku jatuh cinta sama cara dia menjaga jarak pas perlu
Cinta,rasanya indah ketika dia bilang aku penting
Cinta,aku nyaman sama ketidaksempurnaan dia
Cinta,rasa cinta ini ga ribut tapi kuat
Cinta,aku rindu tatapan mata dia pas senyum
Cinta,rasanya kaya pelukan yang ga keliatan
Cinta,aku suka perhatian diamnya
Cinta,rasa cintanya bikin aku lega
Cinta,aku jatuh cinta tanpa sadar
Cinta,rasanya hangat tiap dia nanya kabarku
Cinta,aku rindu ketenangan itu
Cinta,rasa suka ini jujur banget
Cinta,aku cinta cara dia menghargai hal kecil
Cinta,rasanya lembut pas dia bilang aku boleh istirahat
Cinta,aku nyaman banget sama energi dia
Cinta,rindu datang tiap malam
Cinta,aku jatuh hati sama keberanian dia
Cinta,rasanya seperti pulang
Cinta,aku sayang cara dia ngomong pelan
Cinta,rasanya damai kalau dia deket
Cinta,aku rindu tangan hangatnya
Cinta,rasa cintanya bikin hidup terasa penuh
Cinta,aku suka cara dia ngebuat aku bangga
Cinta,rasanya kaya ketemu versi diriku yang lebih baik
Cinta,aku sayang tiap hal kecil yang dia lakukan tanpa sadar
Cinta,rasanya lembut banget kaya diselimuti
Cinta,aku rindu meski baru ketemu kemarin
Cinta,rasa sayang ini ga punya batas tertentu
Cinta,aku jatuh cinta sama cara dia nyebut namaku
Cinta,rasanya manis tiap dia bilang aku lucu banget
Cinta,aku nyaman banget saat dia cerita panjang
Cinta,rindu ini halus tapi ngiket
Cinta,aku cinta ketenangan matanya
Cinta,rasanya kaya ada cahaya kecil yang nyala
Cinta,aku suka waktu dia sabar dengerin aku
Cinta,rasa cinta ini hidup banget
Cinta,aku rindu senyum kecilnya yang tulus
Cinta,rasanya lembut tiap dia bilang aku ga sendirian
Cinta,aku sayang semua cara dia hadir
Cinta,rasa cintanya bikin aku berani
Cinta,aku jatuh hati saat dia bilang bisa
Cinta,rasanya hangat tiap dia bilang selamat malam
Cinta,aku rindu ketawa kecilnya
Cinta,rasa suka ini kaya embun pagi
Cinta,aku cinta keberadaannya lebih dari yang kupikir
Cinta,rasanya lembut saat dia mengerti tanpa dijelaskan
Cinta,anjir gue suka banget sama dia sumpah
Cinta,gue melt tiap liat senyumnya
Cinta,hari gue auto cerah kalo dia nongol
Cinta,gue baper parah gara gara dia baik banget
Cinta,sumpah gue nyaman parah kalo deket dia
Cinta,gue suka banget cara dia ngomong
Cinta,gemes banget liat dia barusan
Cinta,gue uwu tiap denger suara dia
Cinta,baper tipis tapi dalem banget
Cinta,gue jatuh hati tanpa sadar
Cinta,rasanya manis tiap dia nyapa
Cinta,gue suka tatapannya sumpah halus banget
